City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mount Gambier,-37.83,140.77,48.2,100,90,3.36,AU,2020-10-18
Te Anau,-45.42,167.72,44.74,92,100,2.19,NZ,2020-10-18
Tres Arroyos,-38.37,-60.28,68.81,74,69,6.26,AR,2020-10-18
Tasiilaq,65.61,-37.64,33.8,80,58,10.29,GL,2020-10-18
Leshukonskoye,64.9,45.76,30.65,97,100,8.19,RU,2020-10-18
Rikitea,-23.12,-134.97,74.86,81,100,18.5,PF,2020-10-18
Ndélé,8.41,20.65,73.31,79,86,2.15,CF,2020-10-18
Constitución,-35.33,-72.42,57.2,58,0,16.42,CL,2020-10-18
Yar-Sale,66.83,70.83,19.09,96,28,7.27,RU,2020-10-18
Vestmannaeyjar,63.44,-20.27,44.83,69,23,14.45,IS,2020-10-18
Iqaluit,63.75,-68.51,32.0,96,90,23.04,CA,2020-10-18
Shimanovsk,52.0,127.7,26.96,96,29,6.08,RU,2020-10-18
Albany,42.6,-73.97,61.0,41,96,3.0,US,2020-10-18
Naze,28.37,129.48,75.2,88,90,19.46,JP,2020-10-18
Hermanus,-34.42,19.23,60.01,84,100,6.76,ZA,2020-10-18
São Filipe,14.9,-24.5,80.64,79,22,6.38,CV,2020-10-18
The Valley,18.22,-63.06,86.0,83,40,3.36,AI,2020-10-18
Kapaa,22.08,-159.32,84.0,78,1,11.41,US,2020-10-18
Hobart,-42.88,147.33,51.01,61,75,5.82,AU,2020-10-18
Kaitangata,-46.28,169.85,51.01,88,99,2.68,NZ,2020-10-18
Severo-Kuril'sk,50.68,156.12,46.22,84,6,13.33,RU,2020-10-18
Vaini,-21.2,-175.2,71.6,83,75,14.81,TO,2020-10-18
Lukovit,43.2,24.17,48.2,76,5,4.7,BG,2020-10-18
Dikson,73.51,80.55,27.95,90,99,29.91,RU,2020-10-18
Samarai,-10.62,150.67,79.68,87,53,6.89,PG,2020-10-18
Saint George,37.1,-113.58,78.8,10,1,9.44,US,2020-10-18
Busselton,-33.65,115.33,57.0,58,0,8.19,AU,2020-10-18
Tuatapere,-46.13,167.68,48.0,95,100,1.99,NZ,2020-10-18
Pangai,-19.8,-174.35,75.2,78,75,6.93,TO,2020-10-18
Cherskiy,68.75,161.3,20.34,92,89,7.0,RU,2020-10-18
Punta Arenas,-53.15,-70.92,42.8,70,40,31.09,CL,2020-10-18
Bambanglipuro,-7.95,110.28,75.99,89,97,7.25,ID,2020-10-18
Katsuura,35.13,140.3,57.2,76,75,8.05,JP,2020-10-18
Saskylakh,71.92,114.08,20.59,97,100,6.6,RU,2020-10-18
Hilo,19.73,-155.09,77.0,83,90,9.17,US,2020-10-18
Butaritari,3.07,172.79,82.11,72,100,18.86,KI,2020-10-18
Marzuq,14.4,46.47,68.4,24,0,4.21,YE,2020-10-18
Esperance,-33.87,121.9,51.8,100,90,8.05,AU,2020-10-18
Bluff,-46.6,168.33,48.0,96,100,1.99,NZ,2020-10-18
Bredasdorp,-34.53,20.04,60.8,77,100,1.12,ZA,2020-10-18
Mataura,-46.19,168.86,48.0,96,100,1.99,NZ,2020-10-18
Pisco,-13.7,-76.22,66.2,77,90,8.05,PE,2020-10-18
Lyngseidet,69.58,20.22,30.2,86,20,12.75,NO,2020-10-18
Salalah,17.02,54.09,78.8,34,0,4.7,OM,2020-10-18
Plettenberg Bay,-34.05,23.37,57.74,82,38,3.04,ZA,2020-10-18
Lodwar,3.12,35.6,85.95,40,2,2.71,KE,2020-10-18
Saint-Philippe,-21.36,55.77,73.4,68,9,3.36,RE,2020-10-18
Chapais,49.78,-74.85,46.4,75,90,18.34,CA,2020-10-18
Vanimo,-2.67,141.3,78.22,82,100,5.1,PG,2020-10-18
Tocopilla,-22.09,-70.2,66.72,46,22,7.09,CL,2020-10-18
Kavieng,-2.57,150.8,83.03,74,61,9.6,PG,2020-10-18
Diego de Almagro,-26.37,-70.05,75.87,23,0,9.69,CL,2020-10-18
Upernavik,72.79,-56.15,30.81,91,10,11.21,GL,2020-10-18
Erin,36.32,-87.69,60.8,87,90,5.86,US,2020-10-18
Amarante do Maranhão,-5.57,-46.74,87.4,40,98,3.89,BR,2020-10-18
Pevek,69.7,170.31,24.26,94,97,16.93,RU,2020-10-18
Bubaque,11.28,-15.83,82.56,86,0,11.83,GW,2020-10-18
Atuona,-9.8,-139.03,77.9,75,4,20.69,PF,2020-10-18
Waipawa,-41.41,175.52,57.99,82,100,23.04,NZ,2020-10-18
Chokurdakh,70.63,147.92,19.08,98,93,6.42,RU,2020-10-18
Laas,46.62,10.7,42.01,71,5,1.68,IT,2020-10-18
Port Elizabeth,-33.92,25.57,57.2,87,8,3.36,ZA,2020-10-18
Tuktoyaktuk,69.45,-133.04,15.8,92,20,3.36,CA,2020-10-18
Havelock,34.88,-76.9,73.99,64,5,12.75,US,2020-10-18
Ushuaia,-54.8,-68.3,41.0,80,75,29.97,AR,2020-10-18
Qaanaaq,77.48,-69.36,33.15,87,92,6.71,GL,2020-10-18
New Norfolk,-42.78,147.06,51.01,74,89,2.28,AU,2020-10-18
East London,-33.02,27.91,63.99,73,46,6.42,ZA,2020-10-18
